SystemCodeNumber,longtitude,latitude
BHMBCCMKT01,-1.891625886,52.47568745
BHMBCCPST01,-1.893912916,52.47359485
BHMBCCSNH01,-1.899323038,52.48338964
BHMBCCTHL01,-1.903310945,52.47785514
BHMBRCBRG01,-1.893166466,52.4778824
BHMBRCBRG02,-1.891075328,52.47805131
BHMBRCBRG03,-1.895409071,52.47591559
BHMBRTARC01,-1.906477266,52.47748009
BHMEURBRD01,-1.915274316,52.47368394
BHMEURBRD02,-1.915274316,52.47368394
BHMMBMMBX01,-1.903739937,52.47692952
BHMNCPHST01,-1.892864466,52.48099265
BHMNCPLDH01,-1.892890802,52.48227824
BHMNCPNHS01,-1.906933476,52.48458252
BHMNCPNST01,-1.900429758,52.47581203
BHMNCPPLS01,-1.899822303,52.47750163
BHMNCPRAN01,-1.897317051,52.4848353
Broad Street,-1.915274316,52.47368394
Bull Ring,-1.8934882,52.4772136
NIA Car Parks,-1.917153781,52.47833125
NIA North,-1.914952222,52.48041719
NIA South,-1.916986979,52.47891731
